conv_id,query,history,groundtruth
615,,"['77376', '189950', '99715', '114560', '78719', '187310', '175196', '180728', '101264']","['193627', '79385']"
616,That one is okay also!  Lots of over the top violence!  How about John Carpenter's @108565 Well..not that one...the 1982 remake!,"['140336', '114932', '198772', '121148', '170277', '108565']",[]
619,,"['106317', '146962', '114231', '194237', '124848', '136877', '157190']",['202409']
620,,"['152744', '146962', '124708', '166941']","['164128', '124582']"
622,,"['76356', '149829', '82602']","['187274', '93521']"
624,"You know, I have seen the sequel and never the original. i did like @106132 so I bet I will like it","['120948', '204033', '95533', '106132']","['117271', '161385']"
625,,[],[]
626,,"['98699', '112719', '185171', '124848']",['165484']
627,"Oh, I never actually saw that. My nephew was in the musical at his high school, but I havent seen the movie. Maybe I will watch that","['152744', '194253', '145997', '79278', '89109']","['169617', '174489']"
628,,"['122278', '140395', '101264']","['170376', '95121']"
629,,"['187310', '99049', '134885']","['190210', '199734']"
630,"Yes!  That was so good!  I love the super hero movies, but that one was better than all of them.",['119144'],['169419']
632,,"['85764', '113600', '91395', '168664', '78340', '181715']",['204391']
633,"Oh, I haven't seen that one but I heard there is a sequel coming out soon.  I'll have to check it out.  Any other good comedies you have seen?","['136632', '181299', '93013']",['169419']
654,,[],"['95893', '147934', '157190']"
657,,"['180527', '157190']","['96844', '145728']"
659,,"['202190', '76012', '135508', '78418', '185171']",[]
661,,"['188480', '128761', '79451', '129751']",[]
663,,"['155969', '197213', '157190', '95893']",['170376']
664,,"['125624', '114851', '154993', '85423']",[]
665,,[],[]
668,,"['182960', '154993', '85423']",['108063']
669,,[],"['121902', '154993', '183631']"
671,,"['81232', '158461']",[]
672,"but @79968 is good. Its about Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th, according to IMDB",['79968'],['180771']
674,,"['198619', '184418']","['201476', '169419']"
681,,"['136632', '170376', '157190']",['135508']
710,,"['182781', '185171', '197213', '135508', '147204']",[]
718,,"['105230', '199451']","['121902', '154993']"
722,"I haven't seen that one, I will have to check it out.  I saw a strange one from a few years ago called @76508 , it was a bit of a thriller.","['76508', '119144']","['178984', '169419', '137985']"
734,,['119144'],"['204292', '170376', '151299']"
735,,"['119144', '93013', '184098']",['138962']
736,,"['138962', '93013']",['90165']
737,,"['189349', '151299', '170376']",['204292']
738,,"['148871', '134885', '137023', '129362', '158903', '90766']",[]
742,,"['170119', '138962', '93013', '204292']",[]
762,,['115463'],"['187028', '175707', '203822']"
763,,[],"['105300', '118402', '136810', '179631']"
764,It's the story of Hannibal Lecture helping a cop catch a serial killer. It takes places in the weeks prior to @203424,"['108137', '203424']","['82321', '138354']"
766,,['187310'],"['137821', '203371', '144468']"
767,,[],"['204409', '89659', '202588', '88484']"
768,,"['142664', '144752']",['162466']
769,,"['187879', '77161']",['162466']
770,I have heard of it but never gave it a chance! I am writing down all of the names now.,[],"['85612', '119144', '202681']"
776,,[],"['94687', '89659', '94750']"
777,,"['177276', '176542', '95199', '97255']",['100614']
778,,"['149519', '112346', '188057']","['122278', '175522']"
779,,[],"['170305', '124024', '93083']"
780,I've seen T5 already. I didn't like it all that much. It was too scattered and clumbsy. But I've heard @Valerian is really good,"['96835', '131630', '112346', '165812']",['175522']
781,,"['170119', '183631', '154993']",['185171']
782,,['106388'],[]
783,,"['138962', '93013']",['121902']
784,,['88141'],"['137674', '111540', '164944']"
785,,"['184418', '197200']",['121902']
786,,['193005'],"['181028', '118402']"
787,,"['158006', '99583', '169419']",[]
788,,"['154993', '190543', '178331']",[]
790,,"['84273', '170376', '184418', '173785']",[]
791,,"['117122', '175946']","['121902', '129676']"
793,,"['158208', '184418']","['154993', '190543']"
794,,"['140066', '174475', '152497', '184418']",['148120']
795,,['121148'],"['146581', '88484']"
796,,"['187310', '122278', '175096']","['194966', '184418']"
797,,"['162882', '165636']","['202339', '111540']"
798,,"['155969', '184418']","['187028', '153346', '185171']"
799,,['194966'],"['204409', '187028', '204419']"
803,,[],"['141524', '138962', '159077', '122172']"
804,,"['120171', '105792', '104589', '142758']",[]
806,,['122278'],"['204409', '142376', '204419', '178984']"
807,,"['133249', '77707']","['138482', '170871']"
808,,[],"['102073', '188060', '134366', '133138']"
809,"The game is sweet! I didn't know there was an anime. I'd heard of it, but assumed it was another expansion pack.",['83236'],"['168188', '203371']"
810,,"['77945', '83236']","['137804', '119409']"
811,,['198327'],"['204435', '137143', '119409', '158876']"
816,,"['130287', '82153', '199451']",['121902']
832,,[],[]
833,,[],[]
854,,"['172676', '82153']",['168301']
855,,['154993'],[]
856,"I will have to check that out!  I usually don't like sad movies, but documentaries are almost always worth it","['118637', '85423']","['154993', '183631']"
857,"Actually if you look at the green text up above, you are the movie recommender :) Can yu help me find a good comedy?","['140335', '85423', '177112', '154993']",['121902']
858,,"['121902', '199674', '183631', '177384', '154993', '148674']",['83905']
860,,"['140066', '138962', '130591']",['193321']
861,,[],[]
862,,"['81385', '140335', '154993', '149627']",['85423']
865,,['148674'],['167384']
869,,"['143259', '180926', '84273', '78340']",['202175']
870,,"['121902', '176542', '91481']",['122172']
871,,"['167623', '111776', '84273']",['181929']
872,,"['119144', '170305']",['117241']
874,,"['180224', '158950']",['172088']
875,,"['180122', '125284', '124708']","['104180', '91087']"
879,,"['86536', '141928', '138962']",['154848']
881,"Oh, don't waste your time on that second one. They said romantic comedy and her husband dies in the beginning and the whole thing is sad!!","['123015', '85423']",['166729']
882,,[],[]
883,I think I started the first and it was ok and then I got overwhelmed at the rate they were releasing new ones,"['187028', '130591', '77161']",['187310']
886,I don't think I have ever seen that. Just a few clips here and there. And when I hear Puttin on the ritz I think of it haha,"['98699', '79743', '127914', '161089', '99910', '83192', '180414']",['168892']
888,,['93215'],"['196460', '189950', '132752']"
889,"Okay, wonderful. I think she might like those. What about @204419 ? My gf says she wants to see it.",['115463'],"['204409', '187028']"
890,I am looking for a good movie with music in it. Something like @125284 or even a musical like @79278,"['79278', '125284', '93497']",['183830']
891,,['150050'],"['111540', '177160', '165812', '169419']"
892,,[],[]
893,,['77945'],"['102073', '139913', '170871']"
894,,"['127676', '97819']",['142376']
895,"@91332 was good, but I didn't like the new recall. It was lacking something. I can't put my finger on it","['98699', '122278', '183056', '140122', '179037', '150501', '190543', '90486', '100646', '91332', '154993']",['169353']
896,,['198967'],"['199888', '149363', '78807', '170501']"
897,,['109082'],"['84001', '132803', '83766']"
898,,"['137293', '177112', '112719', '111918', '149938', '141524', '138962']",['173785']
902,,[],"['204409', '187028', '122278', '142376']"
921,,"['107018', '82923', '158803', '105827']",[]
925,,"['187028', '148114', '204334', '170119', '115463']",[]
927,,"['137293', '127328', '103896', '112277', '190814', '187028', '111776', '93310']",[]
928,,"['140476', '99583', '171202', '199831', '84273']",['160919']
929,,"['195012', '157394']",[]
930,,"['152744', '118748', '204331', '199831', '150941', '115908', '84273', '181301']",['193762']
931,,"['199831', '111776', '91481', '84273', '90766', '181301']",['88487']
932,,"['185139', '152847', '118748', '101081', '100030', '188192', '97219', '202175']",[]
938,,"['164755', '78670', '162882', '155370']","['158518', '87090']"
941,,"['140696', '101081', '200318', '137996']",['135305']
942,,"['184951', '77161', '130591']",['184418']
943,,"['97255', '76940', '135305', '187310', '134760', '137996', '194412']",[]
944,,"['91332', '112719', '157231']","['140696', '150941']"
945,,"['85612', '125118', '103743', '172317', '79278', '130591', '79385', '145728']",[]
946,,"['188656', '87090', '140066', '98088', '86428', '167839', '167596']",['168960']
947,,"['94317', '91313', '101081', '155989', '197888', '170501', '100030', '116976', '118748', '81819', '83853', '118353']","['89967', '76113']"
950,Can you help me find a good movie in any genre?I like things like @177112 and @187028 but not like @204292,"['177112', '199831', '187028', '178950', '84273', '90766']",['87193']
954,,"['114756', '158006', '169419', '99583']",['152789']
956,,"['123015', '175203', '155843', '80108', '138780', '163398', '170316', '93013', '202175']",['138527']
957,,"['121422', '111918', '162517', '141928', '100493', '93013']","['148135', '194272']"
959,I did see @188155 when it first came out but that was so long ago! I did not see @168467 though. what is that about?,"['188155', '189950', '114560', '77798', '157231', '83766']",['168467']
962,,"['182709', '194044', '179438', '109082', '168467']",['114231']
963,Oh yes I do love that one!! If you like 80;s have you seen @185179 such great music and a good movie!,"['125284', '124708', '185179', '140066', '81660', '187373', '190837']","['140696', '150941']"
966,,"['183459', '118748', '121422', '157758', '101081', '166729', '201259', '119667', '178711']",['86222']
974,"No, thank you for your suggestion though. I will look into that movie with Tom Hanks. Thank you, and goodnight","['164755', '152789', '186139', '78340']",['78172']
975,,"['181299', '110494', '78480', '162882', '111099', '154857', '190285', '91332']","['86449', '85645']"
977,,"['204331', '111918']","['138962', '100493', '204455']"
980,,"['167596', '138962', '78340']",['122172']
981,,"['155829', '99276', '194044', '90950', '182674', '78340']",[]
982,,"['155989', '165991', '91313', '122172', '149260', '134643', '192734', '115908', '204292']",[]
985,,"['122278', '100723', '112069', '159503', '170376', '149519', '204292']",[]
986,,"['122278', '134885', '78418', '170376', '204292']",[]
987,,"['168289', '110806', '122172', '140066', '138962']",[]
988,,"['165991', '175096', '151702', '170037', '115908']",['201259']
989,,"['123015', '175096', '158518', '202175', '158874', '143859', '204292']",[]
994,,"['182236', '178711', '160225', '170501', '109788']","['148774', '164872']"
995,,[],"['96903', '80603', '155023', '96835']"
997,,[],"['164872', '194157', '76627', '94726']"
998,"Well thanks for the sugestions. I'll probably just rent them from Amazon as downloads, and my partner and I will watch them after breakfast.","['141098', '178711', '90272']","['98929', '140771']"
999,,[],"['198894', '113925', '151114', '103097', '139923', '153820']"
1000,I'm looking for some films my wife and I can stream online and watch this morning. What do you recommend?,['184951'],"['161817', '174545', '86245', '161025']"
1001,,[],"['204456', '169419', '176494', '177160', '204409', '136632']"
1002,Hey. Can you recommend some good new science fiction films? Preferably something already on DVD that I can buy or rent to watch online.,['194966'],"['83436', '138311', '167774']"
1003,Sounds good. Well thanks for the suggestions. I'm going to see which ones are on Netflix to watch later today.,"['158497', '178711', '163619']","['156679', '138241']"
1014,,"['109788', '100323', '121563']","['142573', '117972']"
1015,"I am one of those people who used to dismiss older movies because of the quality of film making, but as I've grown older, I see that they often tell much better stories than films today",[],"['127673', '176641', '189381', '94056', '159952']"
1018,,"['176375', '187573', '171343']",['171959']
1021,I tried to watch that but couldn't. It was too sad for me. I was overweight in my early 20s and it brought back so many memories.,"['198004', '188656']","['127914', '141210']"
1022,,"['169522', '198967']","['101264', '146699']"
1023,,"['103957', '166466']","['122172', '178948']"
1043,,"['124485', '99660', '198918', '204292']",[]
1050,,[],[]
1053,,[],[]
1054,,"['194966', '162882', '78418']",['169419']
1057,,"['167623', '111776', '170060', '176542']",['198619']
1059,"Take thou hand, and place it firmly on though mouse...now hover over the green button and hit &quot;subit conversation&quot; you rapscallion! #clams","['85036', '117126', '170277', '145470']",[]
1060,,"['77798', '189950']","['101264', '142823']"
1061,,"['140066', '95199', '176542']",[]
1062,,"['128919', '115516', '79278', '93497']",['127328']
1063,"Yeah, i want to see that as well. I should rent it. I heard it was really good. It was a surprise hit.",['76012'],"['187028', '153346', '184418']"
1065,,"['181299', '143198', '86428', '202434']",['161056']
1066,"You know, you can really stump someone by asking for esoteric movie recommendations. Just watch them flounder... T2 was good. T3 was garbage!","['97548', '85036', '171914', '139878', '139492']",[]
1067,,"['170060', '176542']","['119662', '148477']"
1071,,"['175843', '144347', '177108']","['112069', '119144']"
1073,,"['190285', '78480', '162882', '178136', '180251', '203730']",[]
1074,,"['183056', '161983', '155989', '187028', '84273', '157394']",['178502']
1075,,"['162882', '145017']",['145997']
1077,,"['173843', '114271', '90950', '144701', '181929', '204292']",[]
1078,,"['88960', '124142', '170722', '197200']",[]
1079,,"['105031', '83274', '124142', '180899']",[]
1083,,"['187028', '184951', '173868', '203424']",[]
1088,,"['112069', '113055', '161313', '119144']",[]
1089,,"['111429', '181715']","['84766', '170376']"
1090,Im on the look out for a movie that I may like. I need you to recommend something to me.,"['175096', '139878', '113055', '170059', '114659']",[]
1092,,"['188939', '100493', '115908']",['148073']
1093,,"['140335', '199831', '116976', '84273', '100493']",['117324']
1094,,[],[]
1096,,['84273'],[]
1099,,"['154857', '188155', '157231', '168467']",[]
1100,,"['114560', '112719', '102493']","['112994', '126048']"
1101,,"['171202', '146962', '88141']","['111540', '204466']"
1102,,"['155829', '85036', '96281', '147934', '204292']",['169419']
1103,,[],[]
1105,,['187028'],"['123392', '204468', '158950']"
1107,Forget about horror movies. Go watch &quot;Overnight&quot;. It's about the filmmaker who made &quot;Boondock Saints&quot; and how his career fell apart soon after.,[],"['128726', '166696', '106887']"
1108,,"['123015', '118748', '115908', '186139', '201259', '116976', '178711']",[]
1109,,"['120003', '126048', '168467', '86428']",['182709']
1110,,['134032'],"['131830', '153355']"
1111,,"['197405', '194044', '112069', '141648', '179081', '78418', '171202', '142205', '78340', '181715']",[]
1112,,"['116524', '82417']",['127914']
1114,,"['78340', '95629', '135789']",['185493']
1115,,"['132885', '197414', '197213', '147934']",['199722']
1116,,"['146640', '182709', '120003', '86428', '168467']",['199038']
1117,,[],"['203424', '90486']"
1118,,"['140066', '191440', '170722', '115908']",[]
1119,,"['85036', '98433', '148904', '186828', '92937']",['186975']
1120,"I need to check that one out. I really love Reese Witherspoon, especially in @142759  so I will need to look that movie up. I love Tom Hanks!","['84003', '164755', '107671', '87090', '140696', '135655']","['98699', '192443']"
1122,,"['182709', '94056', '84837']","['159793', '198967']"
1123,,"['178711', '175096', '120405', '202418']","['161326', '132728']"
1124,,[],"['181097', '157231', '168467']"
1126,,"['135571', '88487', '117972']","['121123', '195234', '88172', '159503', '100683']"
1127,,['95199'],"['135090', '167746', '94460', '109788']"
1137,,"['176237', '161313', '85414']",[]
1140,,"['157231', '140696', '145997', '150941', '135485', '140716', '194583']","['114560', '159503', '168467', '102493']"
1146,,"['182960', '184098', '111429']",[]
1148,,"['189887', '182960']","['158256', '112342']"
1149,,"['187028', '78340']",['78418']
1158,,"['184350', '88487']","['127908', '88172', '104253', '204477']"
1159,,"['88172', '117972', '189804', '141524', '138962', '93013']","['184350', '204478']"
1160,,"['141620', '75918', '164755', '118748', '175096', '161723', '84798', '158518', '186139', '120003', '91332', '142823']",[]
1161,"I love that movie!! That's one of my favorite with his! That movie is so under rated, but it's so good","['123015', '91313', '140335', '117159', '150941', '84798', '188939', '195012', '193037']",[]
1179,,"['199539', '120726', '111540', '147734', '147271']",[]
1181,"okay so I am supposed to ask for a movie suggestion. I really like good action films, comedy, romance, and I also enjoy family movies with my family lol","['178715', '136983']","['189349', '87674', '190543']"
1186,,"['98699', '128726', '190285', '79062']",[]
1191,,"['89770', '187778', '136983', '117972', '107420', '122385', '152497']",[]
1197,,"['182709', '186744', '86428', '99378']",['78426']
1200,,"['84273', '183056', '188779', '122172']",['138962']
1201,,"['187028', '94056', '184418']",['135508']
1202,,"['190285', '147669', '191947', '162882']",['123814']
1203,"Yes they're mysteries. A little dark in the sense of tone, but not content. Very good if you're into that sort of thing.","['146699', '200334']","['103957', '97255', '124142', '107174']"
1204,,"['202190', '176641', '184418']",['144711']
1205,,[],['192035']
1207,"I love that movie! Never seen @142573, but it sounds like a good one so I will check it out.","['84273', '163713', '97255']",['142573']
1209,,"['127914', '170501']",['104177']
1210,no I really do not like big budget action movies with a lot of big bangs ... I have seen the trailer but never watched it,"['114909', '199451']",['135849']
1212,,"['197213', '92826']","['182781', '78354']"
1214,,"['180926', '88487', '117972']",['149788']
1215,,"['116125', '88487', '169487']","['99910', '168892']"
1216,,['152744'],['127328']
1238,,"['132885', '129037', '139878', '79062', '204292', '157190']",[]
1240,,"['125280', '150451']",[]
1241,,"['139839', '177112', '140066', '119326', '84273', '138962']",[]
1242,"also, if you are the same person who was on before, just so you know, you have to wait until we find a film the other person hasn't seen otherwise they will reject us","['201085', '163704', '77161', '77066']",['179731']
1243,,"['85575', '125284', '90272', '111063']",['78058']
1269,,"['78453', '197213', '92018']","['203371', '101264', '182674']"
1271,,['143623'],"['140066', '100493', '103714']"
1273,,['90950'],"['194044', '170376', '157190']"
1274,"I love that movie!!! With Morgan Freeman, he's a great actor. That is a good suggestion, know of any others?","['188155', '90332', '112719', '182709', '203424', '157231', '168467']",[]
1275,I love the originals and not sure about the new characters and where the story is heading. I mean I have a lot of thoughts about it,"['149519', '197213', '96281', '90486', '138311', '79062']",[]
1276,,"['143259', '90253', '125280', '140066', '180926', '113213', '100493', '152497', '90766']",[]
1278,,"['181299', '190285', '155969', '149720', '153858', '86246']",[]
1279,,"['98699', '190285', '87090', '189495', '79341']",['82795']
1280,I love that movie. I've probably seen it a dozen times but not in a couple of years. Have you seen it?,"['122021', '147669', '182709']","['158518', '191242', '189403']"
1281,,[],"['111292', '184451', '113392']"
1282,I am looking for some good drama movies. To give you an idea some movies I really liked are @164755 and @107671,"['181299', '190285', '78480', '164755', '162882', '110291', '111099', '107671', '87090', '88141', '158518']",['111540']
1283,,"['103957', '124142', '98139', '166466']",['176542']
1284,"I am looking for some good romantic/romantic comedies, do you know of any? Some of my favorites are @118748 and @126237 with Taylor Schilling","['101081', '94219', '118748', '126237', '132728', '159503', '201259', '83472']",['160476']
1286,,[],[]
1288,,"['85036', '161313', '139878', '112069']",[]
1289,,"['117335', '112719', '182709', '120003', '86428', '168467']",['199038']
1290,,"['169487', '83552', '190814']",[]
1293,,"['190285', '188808', '164755', '107671', '87090', '109896', '188656']",['167455']
1294,,"['204331', '88172', '115908', '100493', '127029', '170277']",[]
1298,,"['120948', '192815', '141732']","['178096', '83552']"
1301,,['198977'],"['166357', '123825', '81563']"
1302,,"['141732', '122385', '192035']",['192815']
1303,,"['171914', '112069', '161313', '154857', '121726', '139878', '78418', '171202', '136877', '168039']",[]
1306,,"['196336', '141578', '140122', '182709', '86428', '124848']",[]
1307,,[],"['96281', '83552', '204478']"
1308,,"['104989', '102329', '154980']","['111540', '140704']"
1309,,"['111452', '96281', '92826']",[]
1310,,"['201091', '140066', '204455', '190814', '143623', '204478', '138962', '93013']",[]
1313,,"['85036', '99276', '125431', '125118', '161074', '85875']","['170376', '147934']"
1314,,"['135060', '154069', '140066', '143623']",['190814']
1316,,"['185139', '131232', '78480', '197322', '118748', '97219', '110605']",['78172']
1317,,[],"['187028', '153346', '131178', '203424']"
1318,,"['182709', '117335', '112719', '139048', '159620', '180527']",[]
1319,,"['104180', '104154']",['127328']
1322,,"['182709', '133381', '168467', '112719']",['117335']
1323,,"['132725', '201259']","['167158', '134719']"
1324,,['98672'],"['94265', '131908']"
1325,,"['182709', '112719', '187888', '145496']",['82020']
1327,,"['181299', '78480']","['193257', '201659']"
1328,,"['110580', '178142']",['127914']
1329,,"['170722', '161983']","['103646', '183056', '108301']"
1333,,"['141732', '170722', '177112']",['84273']
1334,,"['123015', '201259']","['132725', '153411']"
1337,,"['94056', '115463']","['146771', '194237', '120003']"
1338,,"['147669', '143198']","['123744', '188656']"
1339,,['171959'],"['94265', '144557', '109487']"
1340,,"['98672', '101785', '129416', '119935']",[]
1342,,"['154848', '175096', '166466']",['126177']
1343,,"['88751', '176641']","['202190', '181097', '187879']"
1344,,"['136808', '151837', '85645']","['78562', '121850', '138615']"
1346,,"['146771', '194237', '120003', '86428', '156624']",[]
1347,,['117972'],"['87826', '132610', '79370', '82029', '95629', '167643']"
1350,,"['91313', '177112', '142791', '178096', '127115', '140066', '116976', '84273']",['183056']
1357,,"['90253', '139150', '170060', '181301']",[]
1363,,['182709'],"['133381', '117335', '112719', '168467']"
1367,,"['90766', '204505', '204477', '204331']",[]
1375,"I have never seen that one, I know it's with Mel Gibson, but that's all I know about it honestly","['181299', '110494', '78480', '87090', '188656', '149720']",['114932']
1377,Never heard of @204505 either. I think I'm behind on new movies. I like movies with lead actresses like that.,"['166729', '125893']","['91313', '118748', '142791', '100493', '204505']"
1382,,[],['91313']
1402,,['182709'],"['139048', '83766', '149908']"
1403,,"['170119', '115463', '185171', '155081', '153733', '152329']",[]
1411,,"['135571', '148120']",['204508']
1421,,"['140336', '204292']",['161313']
1423,,"['122278', '112346', '171227', '204292']",[]
1424,,"['161983', '140066', '111918', '131244', '150451']",[]
1427,,"['131244', '140066', '150451']","['114801', '99060']"
1428,,"['96281', '99276', '197690', '124485', '204292']",[]
1429,,"['175096', '111132', '164755']",['97494']
1431,,"['140336', '189494']","['195979', '112069', '204466']"
1445,,"['121726', '190037', '101846', '171202', '101775']",['167640']
1447,,"['164755', '84007', '150957', '143198', '182709', '107671', '168467']",[]
1448,,"['155989', '115908', '84273', '78340']",['147359']
1451,Thank you for your help. I will be sure to check out those movies you told me about. They looked good. Have a good day,"['112719', '178885', '157231', '168467']","['132291', '138932', '204409']"
1460,,"['90253', '78340', '204455']",['204478']
1461,,"['190037', '112069', '154857', '126656']",[]
1467,,"['90486', '178927', '194044', '197213', '189494']",['170376']
1468,,"['122552', '199831', '204331', '190814', '88487', '140066', '84273', '204477']",[]
1472,,"['90253', '115908', '181301', '78340', '150451']",[]
1484,,"['155989', '166729', '88487', '204477']","['91313', '135090', '142791']"
1486,,"['185160', '150829', '187028', '153346']","['153382', '158950']"
1490,,"['123392', '115463', '158950', '131382']","['153382', '180482']"
1492,,['117972'],['200089']
1494,,"['90332', '112719', '182709', '84837', '168467']",['113784']
